,房产名称,房屋类型,房产坐落,所在小区,建筑面积,户型,朝向,所在楼层,建成年代,规划用途,单位面积价格,财产参考总价,本次网络询价时点为
112,北京市朝阳区建国路88号院7号楼25至26层2801:260.44(㎡),住宅用房,北京市朝阳区建国路88号院7号楼25至26层2801,建国路88号院7,260.44㎡,3室1厅2卫,北向,25,,住宅,34211.00元/㎡,8909913.00元,2020年12月30日
113,北京市朝阳区建国路91号院5号楼25层2单元2902:112.03(㎡),住宅用房,北京市朝阳区建国路91号院5号楼25层2单元2902,金地国际花园,112.03㎡,2室1厅2卫,南向,25,,高档公寓,116249.00元/㎡,13023375.00元,2021年10月27日
114,北京市朝阳区弘善家园408号楼10层1012号:79.1(㎡),住宅用房,北京市朝阳区弘善家园408号楼10层1012号,弘善家园,79.10㎡,2室1厅1卫,南向,10,,住宅,43106.00元/㎡,3409685.00元,2020年11月19日
115,北京市朝阳区惠民园10号楼15层1501号:118.23(㎡),住宅用房,北京市朝阳区惠民园10号楼15层1501号,通惠家园惠民园,118.23㎡,3室1厅1卫,北向,15,,住宅,41338.00元/㎡,4887392.00元,2020年08月31日
116,北京市朝阳区慈云寺1号院1号楼6层601:147.69(㎡),住宅用房,北京市朝阳区慈云寺1号院1号楼6层601,慈云家园1号院,147.69㎡,2室2厅2卫,东北,6,,住宅,59094.00元/㎡,8727593.00元,2020年10月29日
117,北京市朝阳区新东路10号楼5层607:218.27(㎡),住宅用房,北京市朝阳区新东路10号楼5层607,北京市朝阳区新东路10号楼5层607,218.27㎡,3室1厅2卫,东南,5,,住宅,63018.00元/㎡,13754939.00元,2022年03月18日
118,朝阳区新东路4号楼9层903:58.29(㎡),住宅用房,朝阳区新东路4号楼9层903,新东路,58.29㎡,2室1厅1卫,东向,9,,住宅,82736.00元/㎡,4822681.00元,2022年03月01日
119,北京市朝阳区望京东园109号楼14层9单元1702:73.55(㎡),住宅用房,北京市朝阳区望京东园109号楼14层9单元1702,宝星国际二期,73.55㎡,1室1厅1卫,东向,14,,住宅,60993.00元/㎡,4486035.00元,2021年01月05日
120,朝阳区望京东园110号楼15层12单元1801:155.53(㎡),住宅用房,朝阳区望京东园110号楼15层12单元1801,宝星园,155.53㎡,3室1厅1卫,南北,15,,住宅,55930.00元/㎡,8698793.00元,2020年12月04日
121,北京市朝阳区望京西路50号院8号楼22至23层2单元2602:241.91(㎡),住宅用房,北京市朝阳区望京西路50号院8号楼22至23层2单元2602,鹿港嘉苑,241.91㎡,5室2厅2卫,南北,23,,住宅,91637.00元/㎡,22167907.00元,2021年09月29日
122,北京市朝阳区松榆东里18号楼3层2单元231:45.31(㎡),住宅用房,北京市朝阳区松榆东里18号楼3层2单元231,松榆东里,45.31㎡,1室1厅1卫,南北,3,,住宅,47487.00元/㎡,2151636.00元,2020年11月10日
123,朝阳区林萃西里28、29号楼及2号平台28号楼7层6-702:130.97(㎡),住宅用房,朝阳区林萃西里28、29号楼及2号平台28号楼7层6-702,朝阳区林萃西里28、29号楼及2号平台28号楼7层6-702,130.97㎡,3室1厅1卫,南北,7,,住宅,72729.00元/㎡,9525317.00元,2021年12月20日
124,北京市朝阳区柳芳北街9号院1号楼3层2单元301:57.98(㎡),住宅用房,北京市朝阳区柳芳北街9号院1号楼3层2单元301,柳芳北街,57.98㎡,1室1厅1卫,南北,3,,住宅,55222.00元/㎡,3201772.00元,2020年11月20日
125,北京市朝阳区武圣西里9号楼4单元203号:56.45(㎡),住宅用房,北京市朝阳区武圣西里9号楼4单元203号,武圣西里,56.45㎡,2室1厅1卫,南北,2,,住宅,61457.00元/㎡,3469248.00元,2021年04月26日
126,北京市朝阳区水岸中街19号院7号楼22层2203:127.49(㎡),住宅用房,北京市朝阳区水岸中街19号院7号楼22层2203,世华泊郡,127.49㎡,3室2厅2卫,南北,22,,住宅,82107.00元/㎡,10467821.00元,2022年01月21日
127,北京市朝阳区水碓子北里1号楼3层1单元307:155.38(㎡),住宅用房,北京市朝阳区水碓子北里1号楼3层1单元307,北京市朝阳区水碓子北里1号楼,155.38㎡,3室2厅2卫,北向,3,,住宅,51098.00元/㎡,7939607.00元,2020年12月29日
128,北京市朝阳区水碓子北里1号楼9层1单元1001:163.15(㎡),住宅用房,北京市朝阳区水碓子北里1号楼9层1单元1001,万科东第,163.15㎡,3室2厅2卫,北向,9,,住宅,63823.00元/㎡,10412722.00元,2020年12月29日
129,朝阳区水郡长安家园1号院2号楼2层2单元206:56.35(㎡),住宅用房,朝阳区水郡长安家园1号院2号楼2层2单元206,水郡长安家园1号院,56.35㎡,1室1厅1卫,北向,2,,住宅,51474.00元/㎡,2900560.00元,2020年11月06日
130,北京市朝阳区永安里中街3号楼2层2-202:55.94(㎡),住宅用房,北京市朝阳区永安里中街3号楼2层2-202,永安里中街3号楼,55.94㎡,2室1厅1卫,南北,2,,住宅,58739.00元/㎡,3285860.00元,2021年03月23日
131,北京市朝阳区百子湾路32号院2号楼12层1座1517:59.16(㎡),住宅用房,北京市朝阳区百子湾路32号院2号楼12层1座1517,北京市朝阳区百子湾路32号院2号楼12层1座1517,59.16㎡,1室0厅1卫,南向,12,,住宅,52283.00元/㎡,3093062.00元,2021年01月20日
132,朝阳区石佛营西里21号楼8层7门813:69.24(㎡),住宅用房,朝阳区石佛营西里21号楼8层7门813,石佛营西里小区,69.24㎡,2室1厅1卫,南北,8,,住宅,63353.00元/㎡,4386562.00元,2021年12月04日
133,北京市朝阳区石佛营西里35号楼3层5门505号:62.18(㎡),住宅用房,北京市朝阳区石佛营西里35号楼3层5门505号,北京市朝阳区石佛营西里,62.18㎡,2室1厅1卫,南北,3,,住宅,49273.00元/㎡,3063795.00元,2021年02月07日
134,北京市朝阳区科荟路8号1号楼9层903:205.44(㎡),住宅用房,北京市朝阳区科荟路8号1号楼9层903,北京荣尊堡国际俱乐部公寓,205.44㎡,4室2厅3卫,东南,9,,住宅,76988.00元/㎡,15816415.00元,2021年08月03日
135,朝阳区紫绶园4号楼8层8门801:84.1(㎡),住宅用房,朝阳区紫绶园4号楼8层8门801,北京市朝阳区紫绶园,84.10㎡,2室1厅1卫,南北,8,,住宅,49050.00元/㎡,4125105.00元,2021年04月20日
136,朝阳区绿丰家园37号楼1层1单元102:81.23(㎡),住宅用房,朝阳区绿丰家园37号楼1层1单元102,绿丰家园,81.23㎡,2室1厅1卫,南北,1,,住宅,36735.00元/㎡,2983984.00元,2021年07月09日
137,北京市朝阳区芍药居北里317号楼3层3单元303:88.03(㎡),住宅用房,北京市朝阳区芍药居北里317号楼3层3单元303,芍药居北里,88.03㎡,2室1厅1卫,南向,3,,住宅,61854.00元/㎡,5445008.00元,2020年12月29日
138,北京市朝阳区芍药居北里317号楼6层2单元601:108.77(㎡),住宅用房,北京市朝阳区芍药居北里317号楼6层2单元601,芍药居北里317号楼,108.77㎡,3室1厅1卫,南北,6,,住宅,98254.00元/㎡,10687088.00元,2021年11月04日
139,北京市朝阳区西大望路63号院2号楼8层1单元901:44.34(㎡),住宅用房,北京市朝阳区西大望路63号院2号楼8层1单元901,东方雅苑,44.34㎡,1室0厅1卫,西向,8,,住宅,81499.00元/㎡,3613666.00元,2022年01月05日
140,北京市朝阳区西大望路63号院4号楼16层1单元1901:111.95(㎡),住宅用房,北京市朝阳区西大望路63号院4号楼16层1单元1901,西大望路63号院,111.95㎡,2室1厅2卫,南北,16,,住宅,51779.00元/㎡,5796659.00元,2021年01月18日
141,北京市朝阳区西大望路三号院2号楼H单元2101号:154.96(㎡),住宅用房,北京市朝阳区西大望路三号院2号楼H单元2101号,西大望路三号院,154.96㎡,3室2厅2卫,南北,18,,住宅,52091.00元/㎡,8072021.00元,2020年08月10日
142,北京市朝阳区观音惠园14号楼3层4单元302号:56.58(㎡),住宅用房,北京市朝阳区观音惠园14号楼3层4单元302号,观音惠园,56.58㎡,1室1厅1卫,南向,3,,住宅,55841.00元/㎡,3159484.00元,2021年07月06日
143,北京市朝阳区雅成二里21号楼1单元2105号:221.33(㎡),住宅用房,北京市朝阳区雅成二里21号楼1单元2105号,雅成二里,221.33㎡,3室2厅2卫,南北,18,,住宅,50084.00元/㎡,11085092.00元,2020年08月31日
144,北京市朝阳区青年路西里3号院1号楼23层3单元2701:144.47(㎡),住宅用房,北京市朝阳区青年路西里3号院1号楼23层3单元2701,国美第一城,144.47㎡,3室2厅1卫,南北,23,,住宅,39601.00元/㎡,5721156.00元,2021年06月17日
145,北京市朝阳区高碑店北路3号楼11层1101室:114.72(㎡),住宅用房,北京市朝阳区高碑店北路3号楼11层1101室,都市经典家园,114.72㎡,3室1厅1卫,西北,11,,住宅,43456.00元/㎡,4985272.00元,2020年11月25日
146,海淀区万寿寺中海紫金苑2号楼4层6门501:240.16(㎡),住宅用房,海淀区万寿寺中海紫金苑2号楼4层6门501,中海紫金苑,240.16㎡,4室2厅2卫,南北,4,,住宅,121549.00元/㎡,29191208.00元,2021年07月19日
147,北京市海淀区万柳万泉新新家园27号楼2层4单元201:165.7(㎡),住宅用房,北京市海淀区万柳万泉新新家园27号楼2层4单元201,万泉新新家园,165.70㎡,4室2厅3卫,南北,2,,住宅,124280.00元/㎡,20593196.00元,2020年12月10日
148,海淀区万柳锋尚名居4号楼14层1402:155.13(㎡),住宅用房,海淀区万柳锋尚名居4号楼14层1402,锋尚名居,155.13㎡,4室2厅2卫,东北,14,,住宅,141026.00元/㎡,21877363.00元,2021年06月02日
149,北京市海淀区万柳锋尚名居5号楼1层1单元101:135.65(㎡),住宅用房,北京市海淀区万柳锋尚名居5号楼1层1单元101,锋尚国际,135.65㎡,3室1厅2卫,南北,1,,住宅,162157.00元/㎡,21996597.00元,2022年01月21日
150,北京市海淀区万泉河路68号紫金庄园1号楼9层908:67.37(㎡),住宅用房,北京市海淀区万泉河路68号紫金庄园1号楼9层908,紫金庄园,67.37㎡,2室1厅1卫,南向,9,,住宅,98662.00元/㎡,6646859.00元,2021年07月08日
151,北京市海淀区万泉河路68号紫金庄园6号楼17层1715:171.3(㎡),住宅用房,北京市海淀区万泉河路68号紫金庄园6号楼17层1715,紫金庄园,171.30㎡,3室1厅2卫,东向,17,,住宅,98249.00元/㎡,16830054.00元,2021年12月23日
152,海淀区中关村东南小区中关村922号楼6层2门604:57.3(㎡),住宅用房,海淀区中关村东南小区中关村922号楼6层2门604,东南小区,57.30㎡,1室1厅1卫,南向,6,,住宅,129437.00元/㎡,7416740.00元,2021年01月29日
153,海淀区中关村南大街12号四区16号楼5层二单元505:54(㎡),住宅用房,海淀区中关村南大街12号四区16号楼5层二单元505,中科院小区,54.00㎡,2室1厅1卫,南北,5,,住宅,166833.00元/㎡,9008982.00元,2021年09月02日
154,海淀区北坞嘉园北里36号楼4层3单元401:64.54(㎡),住宅用房,海淀区北坞嘉园北里36号楼4层3单元401,北坞嘉园北里,64.54㎡,1室1厅1卫,南北,4,,住宅,61113.00元/㎡,3944233.00元,2020年11月26日
155,北京市海淀区卧虎桥甲六号8号楼4层4单元401:63.8(㎡),住宅用房,北京市海淀区卧虎桥甲六号8号楼4层4单元401,北京市海淀区卧虎桥甲六号,63.80㎡,2室1厅1卫,南向,4,,住宅,82004.00元/㎡,5231855.00元,2021年01月26日
156,北京市海淀区厂洼8号楼2层7门202:42.3(㎡),住宅用房,北京市海淀区厂洼8号楼2层7门202,厂洼小区,42.30㎡,1室1厅1卫,南向,2,,住宅,117918.00元/㎡,4987931.00元,2021年08月30日
157,海淀区厂洼西街10号院3号楼6层42门602:175.6(㎡),住宅用房,海淀区厂洼西街10号院3号楼6层42门602,厂洼西街10号院,175.60㎡,3室2厅2卫,南北,6,,住宅,102925.00元/㎡,18073630.00元,2022年02月24日
158,北京市海淀区双清路89号院2号楼9层1单元909:116.93(㎡),住宅用房,北京市海淀区双清路89号院2号楼9层1单元909,红杉国际公寓,116.93㎡,2室1厅2卫,西向,9,,高档公寓,61736.00元/㎡,7218790.00元,2021年05月19日
159,北京市海淀区复兴路12号3栋5层4门39号:88.1(㎡),住宅用房,北京市海淀区复兴路12号3栋5层4门39号,复兴路12号,88.10㎡,3室1厅1卫,南北,5,,住宅,58782.00元/㎡,5178694.00元,2020年11月24日
160,北京市海淀区大柳树5号6层7门602:38.6(㎡),住宅用房,北京市海淀区大柳树5号6层7门602,大柳树五号院,38.60㎡,1室1厅1卫,南向,6,,住宅,73017.00元/㎡,2818456.00元,2021年01月05日
161,北京市海淀区天秀花园荷塘月舍9号楼3层3-302:149.85(㎡),住宅用房,北京市海淀区天秀花园荷塘月舍9号楼3层3-302,荷塘月舍,149.85㎡,3室2厅2卫,南向,3,,住宅,78171.00元/㎡,11713924.00元,2021年01月18日
162,海淀区学清路16号学知园2号楼8层808号:121.3(㎡),住宅用房,海淀区学清路16号学知园2号楼8层808号,学知园,121.30㎡,3室1厅1卫,西北,8,,住宅,87403.00元/㎡,10601984.00元,2021年12月03日
163,北京市海淀区学院南路32号院11号楼3层3门1号:69(㎡),住宅用房,北京市海淀区学院南路32号院11号楼3层3门1号,学院南路32号院,69.00㎡,2室1厅1卫,南北,3,,住宅,88960.00元/㎡,6138240.00元,2021年07月23日
164,北京市海淀区学院路20号29号楼7层708:70.6(㎡),住宅用房,北京市海淀区学院路20号29号楼7层708,石油大院,70.60㎡,3室1厅1卫,西北,7,,住宅,72240.00元/㎡,5100144.00元,2020年11月13日
165,北京市海淀区安宁佳园5号楼3层303:52.59(㎡),住宅用房,北京市海淀区安宁佳园5号楼3层303,安宁佳园,52.59㎡,1室1厅1卫,东北,3,,住宅,99974.00元/㎡,5257633.00元,2022年03月21日
166,海淀区安宁庄上第摩码园5号楼2层3单元202:155.78(㎡),住宅用房,海淀区安宁庄上第摩码园5号楼2层3单元202,上第MOMA,155.78㎡,3室1厅2卫,南北,2,,住宅,51668.00元/㎡,8048841.00元,2020年12月24日
167,北京市海淀区定慧东里3号楼6层1门601:141.4(㎡),住宅用房,北京市海淀区定慧东里3号楼6层1门601,定慧东里,141.40㎡,3室2厅2卫,南北,6,,住宅,84282.00元/㎡,11917475.00元,2021年06月02日
168,北京市海淀区宝盛里24号楼4层6门403:70.19(㎡),住宅用房,北京市海淀区宝盛里24号楼4层6门403,宝盛里小区,70.19㎡,2室1厅1卫,南北,4,,住宅,55225.00元/㎡,3876243.00元,2020年12月18日
169,北京市海淀区常青园二区16号楼4层2门402:171.86(㎡),住宅用房,北京市海淀区常青园二区16号楼4层2门402,北京市海淀区常青园二区,171.86㎡,3室2厅2卫,南北,4,,住宅,47095.00元/㎡,8093747.00元,2020年12月14日
170,海淀区建材城东一里4号楼5层2单元503:94.5(㎡),住宅用房,海淀区建材城东一里4号楼5层2单元503,建材城东一里,94.50㎡,3室1厅1卫,南北,5,,住宅,39053.00元/㎡,3690509.00元,2020年12月21日
171,北京市海淀区建材城西二里12号楼2层甲9单元201:80.2(㎡),住宅用房,北京市海淀区建材城西二里12号楼2层甲9单元201,建材城西二里,80.20㎡,3室1厅1卫,南北,2,,住宅,71093.00元/㎡,5701659.00元,2021年12月20日
172,海淀区建材城西二里17号楼1层4单元102【海淀不动产】:94.25(㎡),住宅用房,海淀区建材城西二里17号楼1层4单元102【海淀不动产】,知本时代,94.25㎡,1室1厅1卫,南向,1,,住宅,66705.00元/㎡,6286946.00元,2022年03月22日
173,北京市海淀区德惠路1号院40号楼3层2单元318:386.26(㎡),住宅用房,北京市海淀区德惠路1号院40号楼3层2单元318,西山壹号院,386.26㎡,4室2厅4卫,南北,3,,住宅,107719.00元/㎡,41607541.00元,2020年09月01日
174,海淀区志新村37号楼5层3-503:59.57(㎡),住宅用房,海淀区志新村37号楼5层3-503,志新村小区,59.57㎡,2室1厅1卫,南北,5,,住宅,115421.00元/㎡,6875629.00元,2021年08月23日
175,北京市海淀区文慧园北路9号今典花园3号楼9层901:154.4(㎡),住宅用房,北京市海淀区文慧园北路9号今典花园3号楼9层901,今典花园,154.40㎡,4室1厅2卫,西向,9,,住宅,99066.00元/㎡,15295790.00元,2021年07月14日
176,海淀区文慧园北路9号今典花园9号楼5层A座503:90.39(㎡),住宅用房,海淀区文慧园北路9号今典花园9号楼5层A座503,今典花园,90.39㎡,2室1厅1卫,西向,5,,住宅,108508.00元/㎡,9808038.00元,2021年08月26日
177,北京市海淀区旱河路301号院9楼2单元201:160.49(㎡),住宅用房,北京市海淀区旱河路301号院9楼2单元201,西山美墅馆,160.49㎡,3室1厅1卫,南北,2,,住宅,81156.00元/㎡,13024726.00元,2020年12月16日
178,北京市海淀区曙光花园望山园1号楼15层18F:194.27(㎡),住宅用房,北京市海淀区曙光花园望山园1号楼15层18F,曙光花园望山园,194.27㎡,3室2厅2卫,南北,15,,住宅,56634.00元/㎡,11002287.00元,2020年12月01日
179,北京市海淀区永泰庄路甲6号院2号楼6层5门602:43.3(㎡),住宅用房,北京市海淀区永泰庄路甲6号院2号楼6层5门602,永泰庄6号院,43.30㎡,2室1厅1卫,南向,6,,住宅,63098.00元/㎡,2732143.00元,2020年12月07日
180,北京市海淀区泉宗路2号万柳光大家园1号楼17层1701号房屋:214.35(㎡),住宅用房,北京市海淀区泉宗路2号万柳光大家园1号楼17层1701号房屋,万柳光大家园,214.35㎡,3室1厅3卫,北向,17,,住宅,84047.00元/㎡,18015474.00元,2020年12月01日
181,北京市海淀区泉宗路2号万柳光大家园1号楼17层1702号房屋:181.52(㎡),住宅用房,北京市海淀区泉宗路2号万柳光大家园1号楼17层1702号房屋,万柳光大家园,181.52㎡,4室1厅2卫,东向,17,,住宅,86240.00元/㎡,15654285.00元,2020年12月01日
182,北京市海淀区泉宗路2号万柳光大家园8号楼12层1588:179.72(㎡),住宅用房,北京市海淀区泉宗路2号万柳光大家园8号楼12层1588,光大花园,179.72㎡,4室2厅2卫,西南,12,,住宅,87399.00元/㎡,15707348.00元,2020年12月01日
183,海淀区清河三街99号2号楼1层2单元211:81.5(㎡),住宅用房,海淀区清河三街99号2号楼1层2单元211,清河砂轮小区,81.50㎡,3室1厅1卫,南北,1,,住宅,70061.00元/㎡,5709972.00元,2021年10月26日
184,北京市海淀区玉海园小区15号楼6层5门602:130.5(㎡),住宅用房,北京市海淀区玉海园小区15号楼6层5门602,玉海园五里,130.50㎡,3室2厅2卫,东西,6,,住宅,58020.00元/㎡,7571610.00元,2020年11月05日
185,北京市海淀区甘家口34号楼1层3门103:60.9(㎡),住宅用房,北京市海淀区甘家口34号楼1层3门103,甘家口小区,60.90㎡,2室1厅1卫,南北,1,,住宅,94921.00元/㎡,5780689.00元,2021年03月29日
186,北京市海淀区白塔庵金谷园5号楼6层3门602:215.02(㎡),住宅用房,北京市海淀区白塔庵金谷园5号楼6层3门602,金谷园,215.02㎡,4室2厅2卫,南北,6,,住宅,106258.00元/㎡,22847595.00元,2022年04月08日
187,海淀区白家疃尚峰园5号楼5层1单元602:152.73(㎡),住宅用房,海淀区白家疃尚峰园5号楼5层1单元602,尚峰尚水尚峰园,152.73㎡,3室2厅2卫,南北,5,,住宅,47950.00元/㎡,7323404.00元,2020年10月26日
188,北京市海淀区知春路17号知春嘉园3号楼19层1901:190.8(㎡),住宅用房,北京市海淀区知春路17号知春嘉园3号楼19层1901,知春嘉园,190.80㎡,5室2厅2卫,东北,19,,住宅,93419.00元/㎡,17824345.00元,2021年06月22日
189,北京市海淀区稻香园小区10号楼1层1-102号:92.02(㎡),住宅用房,北京市海淀区稻香园小区10号楼1层1-102号,稻香园,92.02㎡,2室1厅1卫,南北,1,,住宅,126596.00元/㎡,11649364.00元,2021年12月08日
190,北京市海淀区紫瑞嘉园2号楼7层3单元802:325.04(㎡),住宅用房,北京市海淀区紫瑞嘉园2号楼7层3单元802,紫瑞嘉园,325.04㎡,4室2厅4卫,南北,7,,住宅,93845.00元/㎡,30503379.00元,2021年03月08日
191,北京市海淀区紫竹院路14号1层21门3号:64.2(㎡),住宅用房,北京市海淀区紫竹院路14号1层21门3号,北京市海淀区紫竹院路14号,64.20㎡,2室1厅1卫,南北,1,,住宅,99571.00元/㎡,6392458.00元,2021年06月17日
192,北京市海淀区紫竹院路1号院2号楼8层808:152.45(㎡),住宅用房,北京市海淀区紫竹院路1号院2号楼8层808,紫竹院路1号院,152.45㎡,3室2厅2卫,南北,8,,住宅,94023.00元/㎡,14333806.00元,2020年08月20日
193,北京市海淀区紫竹院路88号A座6层705:112.27(㎡),住宅用房,北京市海淀区紫竹院路88号A座6层705,北京市海淀区紫竹院路88号A座,112.27㎡,2室1厅2卫,北向,6,,高档公寓,72186.00元/㎡,8104322.00元,2021年03月11日
194,海淀区红联北村6号楼1层4门4-1:84.51(㎡),住宅用房,海淀区红联北村6号楼1层4门4-1,红联北村,84.51㎡,3室1厅1卫,南北,1,,住宅,97320.00元/㎡,8224513.00元,2021年12月15日
195,北京市海淀区罗庄南里7号楼2层6门202:60.69(㎡),住宅用房,北京市海淀区罗庄南里7号楼2层6门202,罗庄南里小区,60.69㎡,2室1厅1卫,南北,2,,住宅,103644.00元/㎡,6290154.00元,2022年03月29日
196,海淀区蓝靛厂南路39号院5号楼9层4单元901:168.66(㎡),住宅用房,海淀区蓝靛厂南路39号院5号楼9层4单元901,玫瑰御园,168.66㎡,3室2厅2卫,南北,9,,住宅,110800.00元/㎡,18687528.00元,2020年08月21日
197,海淀区蓝靛厂垂虹园1号楼11层12G:106.96(㎡),住宅用房,海淀区蓝靛厂垂虹园1号楼11层12G,垂虹园,106.96㎡,2室1厅1卫,东向,11,,住宅,115082.00元/㎡,12309171.00元,2021年05月18日
198,海淀区西二旗一里二区5号楼2层2门202:52.9(㎡),住宅用房,海淀区西二旗一里二区5号楼2层2门202,西二旗一里,52.90㎡,1室1厅1卫,南北,2,,住宅,60117.00元/㎡,3180189.00元,2021年05月20日
199,海淀区西直门北大街32号院5号楼10层1106号:113.24(㎡),住宅用房,海淀区西直门北大街32号院5号楼10层1106号,枫蓝国际公寓,113.24㎡,3室1厅1卫,西南,10,,高档公寓,79368.00元/㎡,8987632.00元,2020年12月16日
200,北京市海淀区西翠路5号今日家园4号楼10层1001:140.75(㎡),住宅用房,北京市海淀区西翠路5号今日家园4号楼10层1001,今日家园,140.75㎡,3室2厅2卫,西北,10,,住宅,74220.00元/㎡,10446465.00元,2021年03月01日
201,北京市海淀区金沟河路3号8号楼5层4单元452:53.9(㎡),住宅用房,北京市海淀区金沟河路3号8号楼5层4单元452,金沟河3号院,53.90㎡,2室1厅1卫,南向,5,,住宅,94742.00元/㎡,5106594.00元,2021年08月05日
202,海淀区阜成路53号院水8号楼5层2门502号:56.6(㎡),住宅用房,海淀区阜成路53号院水8号楼5层2门502号,水文社区,56.60㎡,2室1厅1卫,南北,5,,住宅,111917.00元/㎡,6334502.00元,2021年09月02日
203,北京市海淀区香山南路99号221号楼1至2层:385.95(㎡),住宅用房,北京市海淀区香山南路99号221号楼1至2层,西山美庐,385.95㎡,4室2厅3卫,南北,0,,住宅,177104.00元/㎡,68353289.00元,2020年11月03日
204,北京市海淀区香山南辛村20号2号楼2层1门202:53.3(㎡),住宅用房,北京市海淀区香山南辛村20号2号楼2层1门202,中科院植物所家属院,53.30㎡,1室1厅1卫,南向,2,,住宅,83486.00元/㎡,4449804.00元,2022年02月16日
205,北京市海淀区马连洼竹园54号楼4至5层2单元5018:248.73(㎡),住宅用房,北京市海淀区马连洼竹园54号楼4至5层2单元5018,马连洼竹园,248.73㎡,4室2厅3卫,南北,4,,住宅,88481.00元/㎡,22007879.00元,2021年06月07日
206,北京市海淀区魏公村街1号韦伯豪家园1号楼9层902:74.2(㎡),住宅用房,北京市海淀区魏公村街1号韦伯豪家园1号楼9层902,韦伯豪家园,74.20㎡,1室1厅1卫,西向,9,,住宅,111581.00元/㎡,8279310.00元,2021年08月05日
207,北京市海淀区魏公村路8号院4号楼15层1503:96(㎡),住宅用房,北京市海淀区魏公村路8号院4号楼15层1503,魏公村8号院,96.00㎡,3室1厅1卫,东南,15,,住宅,77867.00元/㎡,7475232.00元,2020年11月27日
208,海淀区魏公村路8号院4号楼15层1504:127.2(㎡),住宅用房,海淀区魏公村路8号院4号楼15层1504,魏公村8号院,127.20㎡,4室2厅1卫,南向,15,,住宅,84156.00元/㎡,10704643.00元,2020年11月27日
209,石景山区八角南里13号楼20层2004号:77.08(㎡),住宅用房,石景山区八角南里13号楼20层2004号,八角南里,77.08㎡,2室1厅1卫,东南,20,,住宅,52056.00元/㎡,4012476.00元,2021年07月29日
210,北京市石景山区杨庄北区27号楼2层2单元202号:105.55(㎡),住宅用房,北京市石景山区杨庄北区27号楼2层2单元202号,西现代城,105.55㎡,2室1厅1卫,南北,2,,住宅,51875.00元/㎡,5475406.00元,2021年05月24日
211,石景山区杨庄北区48栋1层106:78.71(㎡),住宅用房,石景山区杨庄北区48栋1层106,奈伦熙府,78.71㎡,2室1厅1卫,西南,1,,住宅,57349.00元/㎡,4513940.00元,2021年08月17日
212,北京市石景山区杨庄北区50号楼19层1单元1901:141.59(㎡),住宅用房,北京市石景山区杨庄北区50号楼19层1单元1901,鼎诚世家,141.59㎡,3室1厅2卫,南北,19,,住宅,62520.00元/㎡,8852207.00元,2021年03月09日
213,石景山区永乐小区10号楼4层1单元10号:58.04(㎡),住宅用房,石景山区永乐小区10号楼4层1单元10号,永乐小区,58.04㎡,3室0厅1卫,南北,4,,住宅,56141.00元/㎡,3258424.00元,2021年10月13日
214,石景山区西井三区2号楼5层3单元501号:63.43(㎡),住宅用房,石景山区西井三区2号楼5层3单元501号,西井三区,63.43㎡,2室1厅1卫,南北,5,,住宅,51867.00元/㎡,3289924.00元,2021年08月18日
215,西城区华远北街1号楼1317号房产:78.5(㎡),住宅用房,西城区华远北街1号楼1317号房产,华远北街,78.50㎡,2室1厅1卫,西向,13,,住宅,108464.00元/㎡,8514424.00元,2020年09月02日
216,北京市西城区厂甸11号2号楼6层3-6-601:64.5(㎡),住宅用房,北京市西城区厂甸11号2号楼6层3-6-601,北京市西城区厂甸11号,64.50㎡,2室1厅1卫,西向,6,,住宅,110567.00元/㎡,7131572.00元,2021年06月02日
217,西城区广安门外大街305号8区7号楼13层1625:25.6(㎡),住宅用房,西城区广安门外大街305号8区7号楼13层1625,荣丰2008,25.60㎡,1室0厅1卫,北向,13,,住宅,151910.00元/㎡,3888896.00元,2021年11月22日
218,西城区建功西里1号楼14层1605:123.42(㎡),住宅用房,西城区建功西里1号楼14层1605,天缘公寓,123.42㎡,2室1厅1卫,南向,14,,住宅,64240.00元/㎡,7928501.00元,2021年03月17日
219,北京市西城区新街口西里三区6号楼6层3门601号:84.86(㎡),住宅用房,北京市西城区新街口西里三区6号楼6层3门601号,新街口西里三区,84.86㎡,3室1厅1卫,南北,6,,住宅,135677.00元/㎡,11513550.00元,2022年02月16日
220,西城区月坛北小街3号楼7门1202号:82.4(㎡),住宅用房,西城区月坛北小街3号楼7门1202号,北京市西城区月坛北小街3号楼7门1202号,82.40㎡,2室1厅1卫,南向,12,,住宅,129611.00元/㎡,10679946.00元,2021年12月22日
221,北京市西城区红居街8号楼16层1605号:119.35(㎡),住宅用房,北京市西城区红居街8号楼16层1605号,北京市西城区远见名苑,119.35㎡,3室1厅2卫,西南,16,,住宅,100014.00元/㎡,11936671.00元,2021年10月17日
222,北京市西城区阜成门南大街9号楼4层3门401号:69.1(㎡),住宅用房,北京市西城区阜成门南大街9号楼4层3门401号,七建家委会小区,69.10㎡,3室1厅1卫,东西,4,,住宅,114864.00元/㎡,7937102.00元,2021年05月11日
223,北京市西城区马连道中里二区3号楼5层①-5-503:59.35(㎡),住宅用房,北京市西城区马连道中里二区3号楼5层①-5-503,马连道中里二区,59.35㎡,2室1厅1卫,南北,5,,住宅,108353.00元/㎡,6430751.00元,2021年07月19日
